Mes,1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4,5,5,5,5,6,6,6,6,7,7,7,7,8,8,8,8,9,9,9,9,10,10,10,10,11,11,11,11,12,12,12,12,13,13,13,13,,
Producto,W0,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20,W21,W22,W23,W24,W25,W26,W27,W28,W29,W30,W31,W32,W33,W34,W35,W36,W37,W38,W39,W40,W41,W42,W43,W44,W45,W46,W47,W48,W49,W50,W51,MIN,MAX
P40,41,27,27,51,37,38,48,40,39,40,47,31,48,43,37,45,47,39,50,38,38,44,33,27,39,23,22,29,24,36,33,33,32,38,32,30,32,34,41,47,28,26,23,38,36,40,44,39,37,24,27,22,22,51
,41,68,95,146,37,75,123,163,39,79,126,157,48,91,128,173,47,86,136,174,38,82,115,142,39,62,84,113,24,60,93,126,32,70,102,132,32,66,107,154,28,54,77,115,36,76,120,159,37,61,88,110,24,174
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Media,35.84615385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mediana,37,,,,,,,,,,,,,,,,,Mes,Total,,,Observaciones,,Frecuencia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moda,38,,,,,,,,,,,,,,,,,M1,146,,,DE,A,Relativa,Acumulada,%Prob,%ProbAc,,,,,,,,,,,,,,,,,,,,,,,,,,,
Varianza,61.16863905,,,,,,,,,,,,,,,,,M2,163,,,0,110,1,1,0.125,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS,7.821038234,,,,,,,,,,,,,,,,,M3,157,,,111,120,2,3,0.125,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,M4,173,,,121,130,1,4,0.125,0.375,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,M5,174,,,131,140,1,5,0.125,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,M6,142,,,141,150,2,7,0.125,0.625,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,M7,113,,,151,160,3,10,0.125,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,M8,126,,,161,170,1,11,0.125,0.875,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,M9,132,,,171,180,2,13,0.125,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,M10,154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,M11,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,M12,159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,M13,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,MIN,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,MAX,174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
