playerID,useFirst,firstName,middleName,lastName,nameGiven,fullGivenName,nameSuffix,nameNick,pos,firstseason,lastseason,height,weight,college,collegeOther,birthDate,birthCity,birthState,birthCountry,highSchool,hsCity,hsState,hsCountry,deathDate,race
abdelal01,Alaa,Alaa,NULL,Abdelnaby,NULL,NULL,NULL,NULL,F-C,0,0,82,240,Duke,NULL,1968-06-24,Cairo,NULL,EGY,"Bloomfield Senior",Bloomfield,NJ,USA,0000-00-00,B
abdulka01,Kareem,Kareem,NULL,Abdul-Jabbar,NULL,"Ferdinand Lewis Alcindor, Jr.",NULL,"Lew, Cap",C,0,0,85,225,UCLA,NULL,1947-04-16,"New York",NY,USA,"Power Memorial","New York",NY,USA,0000-00-00,B
abdulma01,Mahdi,Mahdi,NULL,Abdul-Rahman,NULL,"Walter Raphael Hazzard, Jr.",NULL,Walt,G,0,0,74,185,UCLA,"Santa Monica City",1942-04-15,Wilmington,DE,USA,"Overbrook / Moton","Philadelphia / Easton","PA / MD",USA,2011-11-18,B
abdulma02,Mahmoud,Mahmoud,NULL,Abdul-Rauf,NULL,"Chris Wayne Jackson",NULL,NULL,G,0,0,73,162,"Louisiana State",NULL,1969-03-09,Gulfport,MS,USA,Gulfport,Gulfport,MS,USA,0000-00-00,B
abdulta01,Tariq,Tariq,NULL,Abdul-Wahad,NULL,"Olivier Michael Saint-Jean",NULL,NULL,G-F,0,0,78,223,"San Jose State",Michigan,1974-11-03,"Maisons Alfort",NULL,FRA,"Lycee Aristide Briand",Evreux,NULL,FRA,0000-00-00,B
abdulza01,Zaid,Zaid,NULL,Abdul-Aziz,NULL,"Donald A. Smith",NULL,"Don, The Kangaroo",C-F,0,0,81,230,"Iowa State",NULL,1946-04-07,Brooklyn,NY,USA,"John Jay",Brooklyn,NY,USA,0000-00-00,B
abdursh01,Shareef,Julius,Shareef,Abdur-Rahim,NULL,NULL,NULL,"Shareef, Reef",F,0,0,81,225,California,NULL,1976-12-11,Marietta,GA,USA,Wheeler,Marietta,GA,USA,0000-00-00,B
abernto01,Tom,Thomas,Craig,Abernethy,NULL,NULL,NULL,Tom,F,0,0,79,220,Indiana,NULL,1954-05-06,"South Bend",IN,USA,"St. Joseph","South Bend",IN,USA,0000-00-00,W
ablefo01,Forest,Forest,Edward,Able,NULL,NULL,NULL,Frosty,G,0,0,75,180,"Western Kentucky",Louisville,1932-07-27,NULL,NULL,NULL,Fairdale,Louisville,KY,USA,0000-00-00,W
abramjo01,John,John,NULL,Abramovic,NULL,NULL,Jr.,Brooms,F,0,0,75,195,Salem,NULL,1919-02-09,Etna,PA,USA,Etna,Etna,PA,USA,2000-06-09,W
ackeral01,Alex,Alex,NULL,Acker,NULL,NULL,NULL,NULL,G,0,0,77,185,Pepperdine,NULL,1983-01-21,Compton,CA,USA,"Eisenhower / Cajon","Rialto / San Bernadino",CA,USA,0000-00-00,B
ackerdo01,Don,Donald,D.,Ackerman,NULL,NULL,NULL,Buddy,G,0,0,72,183,LIU,NULL,1930-09-04,"New York",NY,USA,Metropolitan,"New York",NY,USA,2011-07-09,W
acresma01,Mark,Mark,Richard,Acres,NULL,NULL,NULL,NULL,F-C,0,0,83,220,"Oral Roberts",NULL,1962-11-15,Inglewood,CA,USA,"Palos Verdes","Palos Verdes Estates",CA,USA,0000-00-00,W
actonbu01,Bud,Charles,R.,Acton,NULL,NULL,NULL,Bud,F,0,0,78,210,"Hillsdale (MI)","Alma College",1942-01-11,NULL,NULL,NULL,Troy,Troy,MI,USA,0000-00-00,W
adamsal01,Alvan,Alvan,Leigh,Adams,NULL,NULL,NULL,"Double A, The Oklahoma Kid",C-F,0,0,81,210,Oklahoma,NULL,1954-07-19,Lawrence,KS,USA,"Putnam City","Putnam City",OK,USA,0000-00-00,W
adamsdo01,Don,Donald,L.,Adams,NULL,NULL,NULL,Don,F,0,0,78,210,Northwestern,NULL,1947-11-27,Atlanta,GA,USA,"South Fulton","South Fulton",GA,USA,0000-00-00,B
adamsge01,George,George,NULL,Adams,NULL,NULL,NULL,NULL,F-G,0,0,77,210,Gardner-Webb,NULL,1949-05-15,"Kings Mountain",NC,USA,"Kings Mountain","Kings Mountain",NC,USA,0000-00-00,B
adamsha01,Hassan,Hassan,Olawale,Adams,NULL,NULL,NULL,NULL,G,0,0,76,220,Arizona,NULL,1984-06-20,Inglewood,CA,USA,Westchester,"Los Angeles",CA,USA,0000-00-00,B
adamsja01,NULL,Jack,NULL,Adams,NULL,NULL,NULL,NULL,F,0,0,76,185,"Eastern Kentucky","Kentucky (dnp)  Ph.D",1934-09-27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0000-00-00,W
adamsmi01,Michael,Michael,NULL,Adams,NULL,NULL,NULL,NULL,G,0,0,70,162,"Boston College",NULL,1963-01-19,Hartford,CT,USA,"Hartford Public",Hartford,CT,USA,0000-00-00,B
