id,playerID,year,stint,tmID,lgID,GP,GS,minutes,points,oRebounds,dRebounds,rebounds,assists,steals,blocks,turnovers,PF,fgAttempted,fgMade,ftAttempted,ftMade,threeAttempted,threeMade,PostGP,PostGS,PostMinutes,PostPoints,PostoRebounds,PostdRebounds,PostRebounds,PostAssists,PostSteals,PostBlocks,PostTurnovers,PostPF,PostfgAttempted,PostfgMade,PostftAttempted,PostftMade,PostthreeAttempted,PostthreeMade,note
1,abdelal01,1990,1,POR,NBA,43,0,290,135,27,62,89,12,4,12,22,39,116,55,44,25,0,0,5,0,13,4,1,2,3,0,0,0,0,0,6,2,0,0,0,0,NULL
2,abdelal01,1991,1,POR,NBA,71,0,934,432,81,179,260,30,25,17,66,132,361,178,101,76,0,0,8,0,25,12,0,4,4,2,0,0,2,4,10,5,4,2,0,0,NULL
3,abdelal01,1992,1,MIL,NBA,12,0,159,64,12,25,37,10,6,4,0,24,56,26,16,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
4,abdelal01,1992,2,BOS,NBA,63,0,1152,514,114,186,300,17,19,22,97,165,417,219,100,76,0,0,4,0,68,22,2,11,13,1,0,1,9,7,24,11,0,0,0,0,NULL
5,abdelal01,1993,1,BOS,NBA,13,0,159,64,12,34,46,3,2,3,17,20,55,24,25,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
6,abdelal01,1994,1,SAC,NBA,51,0,476,254,34,72,106,13,15,12,45,102,220,117,35,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
7,abdelal01,1994,2,PHI,NBA,3,0,30,2,3,5,8,0,0,0,0,2,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
8,abdulka01,1969,1,MIL,NBA,82,0,3534,2361,0,0,1190,337,0,0,0,283,1810,938,743,485,0,0,10,0,435,352,0,0,168,41,0,0,0,25,245,139,101,74,0,0,NULL
9,abdulka01,1970,1,MIL,NBA,82,0,3288,2596,0,0,1311,272,0,0,0,264,1843,1063,681,470,0,0,14,0,577,372,0,0,238,35,0,0,0,35,295,152,101,68,0,0,NULL
10,abdulka01,1971,1,MIL,NBA,81,0,3583,2822,0,0,1346,370,0,0,0,235,2019,1159,732,504,0,0,11,0,510,316,0,0,200,56,0,0,0,35,318,139,54,38,0,0,NULL
11,abdulka01,1972,1,MIL,NBA,76,0,3254,2292,0,0,1224,379,0,0,0,208,1772,982,460,328,0,0,6,0,276,137,0,0,97,17,0,0,0,26,138,59,35,19,0,0,NULL
12,abdulka01,1973,1,MIL,NBA,81,0,3548,2191,287,891,1178,386,112,283,0,238,1759,948,420,295,0,0,16,0,758,515,67,186,253,78,20,39,0,41,402,224,91,67,0,0,NULL
13,abdulka01,1974,1,MIL,NBA,65,0,2747,1949,194,718,912,264,65,212,0,205,1584,812,426,325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
14,abdulka01,1975,1,LAL,NBA,82,0,3379,2275,272,1111,1383,413,119,338,0,292,1728,914,636,447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
15,abdulka01,1976,1,LAL,NBA,82,0,3016,2152,266,824,1090,319,101,261,0,262,1533,888,536,376,0,0,11,0,467,381,51,144,195,45,19,38,0,42,242,147,120,87,0,0,NULL
16,abdulka01,1977,1,LAL,NBA,62,0,2265,1600,186,615,801,269,103,185,208,182,1205,663,350,274,0,0,3,0,134,81,14,27,41,11,2,12,14,14,73,38,9,5,0,0,NULL
17,abdulka01,1978,1,LAL,NBA,80,0,3157,1903,207,818,1025,431,76,316,282,230,1347,777,474,349,0,0,8,0,367,228,18,83,101,38,8,33,29,26,152,88,62,52,0,0,NULL
18,abdulka01,1979,1,LAL,NBA,82,0,3143,2034,190,696,886,371,81,280,297,216,1383,835,476,364,1,0,15,0,618,479,51,130,181,46,17,58,55,51,346,198,105,83,0,0,NULL
19,abdulka01,1980,1,LAL,NBA,80,0,2976,2095,197,624,821,272,59,228,249,244,1457,836,552,423,1,0,3,0,134,80,13,37,50,12,3,8,11,14,65,30,28,20,0,0,NULL
20,abdulka01,1981,1,LAL,NBA,76,0,2677,1818,172,487,659,225,63,207,230,224,1301,753,442,312,3,0,14,0,493,285,33,86,119,51,14,45,41,45,221,115,87,55,0,0,NULL
21,abdulka01,1982,1,LAL,NBA,79,0,2554,1722,167,425,592,200,61,170,200,220,1228,722,371,278,2,0,15,0,588,406,25,90,115,42,17,55,50,61,287,163,106,80,1,0,NULL
22,abdulka01,1983,1,LAL,NBA,80,0,2622,1717,169,418,587,211,55,143,221,211,1238,716,394,285,1,0,21,0,767,502,56,117,173,79,23,45,45,71,371,206,120,90,0,0,NULL
23,abdulka01,1984,1,LAL,NBA,79,0,2630,1735,162,460,622,249,63,162,197,238,1207,723,395,289,1,0,19,0,610,416,50,104,154,76,23,36,52,67,300,168,103,80,0,0,NULL
24,abdulka01,1985,1,LAL,NBA,79,0,2629,1846,133,345,478,280,67,130,203,248,1338,755,439,336,2,0,14,0,489,362,26,57,83,49,15,24,42,54,282,157,61,48,0,0,NULL
