year,lgID,tmID,franchID,confID,divID,rank,confRank,playoff,name,o_fgm,o_fga,o_ftm,o_fta,o_3pm,o_3pa,o_oreb,o_dreb,o_reb,o_asts,o_pf,o_stl,o_to,o_blk,o_pts,d_fgm,d_fga,d_ftm,d_fta,d_3pm,d_3pa,d_oreb,d_dreb,d_reb,d_asts,d_pf,d_stl,d_to,d_blk,d_pts,o_tmRebound,d_tmRebound,homeWon,homeLost,awayWon,awayLost,neutWon,neutLoss,confWon,confLoss,divWon,divLoss,pace,won,lost,games,min,arena,attendance,bbtmID
1937,NBL,AFS,AFS,NULL,EA,1,0,CF,"Akron Firestone Non-Skids",249,0,183,0,0,0,0,0,0,0,0,0,0,0,681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,578,0,0,8,1,5,3,0,0,0,0,0,0,0,14,4,18,NULL,NULL,0,AFS
1937,NBL,AGW,AGW,NULL,EA,2,0,WC,"Akron Goodyear Wingfoots",243,0,159,0,0,0,0,0,0,0,0,0,0,0,645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,498,0,0,8,1,5,4,0,0,0,0,0,0,0,13,5,18,NULL,NULL,0,AGW
1937,NBL,BFB,BFB,NULL,EA,4,0,NULL,"Buffalo Bisons",108,0,46,0,0,0,0,0,0,0,0,0,0,0,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,275,0,0,2,2,1,4,0,0,0,0,0,0,0,3,6,9,NULL,NULL,0,BFB
1937,NBL,CNC,CNC,NULL,WE,5,0,NULL,"Richmond King Clothiers/Cincinnati Comellos",110,0,42,0,0,0,0,0,0,0,0,0,0,0,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,338,0,0,3,1,0,5,0,0,0,0,0,0,0,3,7,10,NULL,NULL,0,CNC
1937,NBL,COL,COL,NULL,EA,6,0,NULL,"Columbus Athletic Supply",109,0,64,0,0,0,0,0,0,0,0,0,0,0,282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,426,0,0,1,3,0,7,0,0,0,0,0,0,0,1,12,13,NULL,NULL,0,COL
1937,NBL,DYM,DYM,NULL,WE,7,0,NULL,"Dayton Metropolitans",130,0,87,0,0,0,0,0,0,0,0,0,0,0,347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,414,0,0,2,4,0,5,0,0,0,0,0,0,0,2,11,13,NULL,NULL,0,DYM
1937,NBL,FWE,FWE,NULL,WE,3,0,NULL,"Fort Wayne General Electrics",290,0,148,0,0,0,0,0,0,0,0,0,0,0,728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,568,0,0,9,1,2,6,0,0,0,0,0,0,0,13,7,20,NULL,NULL,0,FWE
1937,NBL,INK,INJ,NULL,WE,4,0,NULL,"Indianapolis Kautskys",159,0,118,0,0,0,0,0,0,0,0,0,0,0,436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,452,0,0,4,2,0,6,0,0,0,0,0,0,0,4,9,13,NULL,NULL,0,INK
1937,NBL,KNK,KNK,NULL,WE,6,0,NULL,"Kankakee Gallagher Trojans",156,0,88,0,0,0,0,0,0,0,0,0,0,0,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,640,0,0,1,4,0,7,0,0,0,0,0,0,0,3,11,14,NULL,NULL,0,KNK
1937,NBL,OSH,OSH,NULL,WE,1,0,LC,"Oshkosh All-Stars",256,0,126,0,0,0,0,0,0,0,0,0,0,0,638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,458,0,0,9,1,2,1,0,0,0,0,0,0,0,12,2,14,NULL,NULL,0,OSH
1937,NBL,PGP,PGP,NULL,EA,3,0,NULL,"Pittsburgh Pirates",179,0,127,0,0,0,0,0,0,0,0,0,0,0,485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,434,0,0,5,1,3,4,0,0,0,0,0,0,0,8,5,13,NULL,NULL,0,PTP
1937,NBL,WAR,CWH,NULL,EA,5,0,NULL,"Warren Penns",121,0,76,0,0,0,0,0,0,0,0,0,0,0,318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,463,0,0,2,3,1,6,0,0,0,0,0,0,0,3,9,12,NULL,NULL,0,WAR
