iter	Passed	Remaining
0	155	77350
1	156	39016
2	158	26268
3	160	19887
4	162	16096
5	164	13539
6	166	11708
7	168	10333
8	169	9269
9	171	8416
10	173	7723
11	175	7143
12	177	6657
13	179	6235
14	181	5863
15	183	5545
16	185	5259
17	186	5007
18	188	4780
19	190	4579
20	192	4392
21	194	4224
22	196	4074
23	198	3931
24	199	3799
25	201	3679
26	203	3570
27	205	3466
28	207	3369
29	209	3276
30	210	3190
31	212	3110
32	214	3033
33	216	2963
34	218	2896
35	219	2832
36	221	2772
37	223	2714
38	224	2659
39	226	2608
40	228	2557
41	230	2511
42	232	2466
43	233	2424
44	235	2384
45	237	2345
46	239	2309
47	241	2273
48	243	2238
49	245	2205
50	246	2172
51	248	2138
52	249	2108
53	251	2078
54	253	2049
55	255	2022
56	256	1995
57	258	1971
58	260	1946
59	262	1922
60	263	1899
61	265	1877
62	267	1855
63	269	1835
64	271	1814
65	272	1795
66	275	1778
67	276	1758
68	278	1739
69	280	1721
70	282	1703
71	283	1686
72	285	1669
73	286	1652
74	288	1635
75	290	1620
76	292	1605
77	294	1592
78	296	1578
79	298	1564
80	299	1551
81	301	1537
82	303	1524
83	304	1510
84	306	1497
85	308	1484
86	310	1474
87	312	1462
88	314	1450
89	315	1438
90	317	1427
91	319	1415
92	321	1405
93	323	1395
94	324	1385
95	326	1374
96	328	1364
97	330	1355
98	332	1345
99	333	1335
100	335	1325
101	337	1317
102	339	1308
103	341	1298
104	342	1289
105	344	1280
106	346	1271
107	348	1263
108	350	1256
109	351	1247
110	353	1239
111	356	1234
112	358	1226
113	359	1218
114	361	1209
115	363	1202
116	365	1195
117	367	1188
118	368	1180
119	370	1173
120	372	1167
121	374	1159
122	376	1152
123	377	1145
124	379	1138
125	381	1131
126	383	1125
127	385	1119
128	387	1114
129	389	1107
130	391	1101
131	392	1095
132	394	1088
133	396	1083
134	398	1077
135	400	1071
136	402	1065
137	404	1060
138	406	1054
139	407	1049
140	409	1043
141	411	1037
142	413	1031
143	414	1025
144	416	1020
145	418	1015
146	420	1009
147	422	1004
148	424	999
149	426	994
150	427	988
151	429	983
152	431	978
153	433	973
